CNPJ,NOME INSTITUIÇÃO,SEGMENTO,ENDEREÇO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,UF,DDD,FONE,CART COMERCIAL,ENDEREÇO ELETRÔNICO,SÍTIO NA INTERNET
30.306.294,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,Banco Múltiplo                                              ,"PRAIA DE BOTAFOGO, 501/ 5º, 6º, 7º  ANDARES       ",TORRE CORCOVADO                                   ,BOTAFOGO            ,22250-040,RIO DE JANEIRO                                              ,RJ,21,3262 96 00,Sim,OL-JURIDICO-SOCIETARIO@BTGPACTUAL.COM                       ,WWW.BTGPACTUAL.COM                                          
30.723.886,BANCO MODAL S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"PRAIA DE BOTAFOGO, 501, BLOCO 1, 5.º ANDAR (PARTE)",                                                  ,BOTAFOGO            ,22250-040,RIO DE JANEIRO                                              ,RJ,21,3223 77 00,Sim,BACEN@MODAL.COM.BR                                          ,WWW.BANCOMODAL.COM.BR                                       
31.597.552,BANCO CLASSICO S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"AV. PRESIDENTE VARGAS, 463                        ",13º ANDAR                                         ,CENTRO              ,20071-003,RIO DE JANEIRO                                              ,RJ,21,2221 61 42,Sim,CONTATO@BANCOCLASSICO.COM.BR                                ,BANCOCLASSICO.COM.BR                                        
31.880.826,BANCO GUANABARA S.A.                                                                                                                                                                                    ,Banco Múltiplo                                              ,"AVENIDA BRASIL, 8255                              ",3º ANDAR                                          ,OLARIA              ,21030-000,RIO DE JANEIRO                                              ,RJ,21,2562 96 00,Sim,IVAN.DIONYSIO@BANCOGUANABARA.COM.BR                         ,WWW.BCOGUAN.COM.BR                                          
31.895.683,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,Banco Múltiplo                                              ,"AV. PRES. JUSCELINO KUBITSCHEK, 1703              ",                                                  ,VILA NOVA CONCEIÇÃO ,04543-901,SAO PAULO                                                   ,SP,11,3049 97 71,Sim,DIRETORIA@BANCOINDUSTRIAL.COM.BR                            ,WWW.BANCOINDUSTRIAL.COM.BR                                  
32.062.580,BANCO CREDIT SUISSE (BRASIL) S.A.                                                                                                                                                                       ,Banco Múltiplo                                              ,"RUA LEOPOLDO COUTO DE MAGALHÃES JR., 700          ",10º ANDAR (PARTE) E 12º A 14º ANDARES (PARTES)    ,ITAIM BIBI          ,04542-000,SAO PAULO                                                   ,SP,11,3701 60 00,Sim,LIST.CSBG-UNICAD@CREDIT-SUISSE.COM                          ,HTTPS://BR.CREDIT-SUISSE.COM/                               
33.042.151,BANCO DE LA NACION ARGENTINA                                                                                                                                                                            ,Banco Comercial Estrangeiro - Filial no país                ,"AV. PAULISTA, 2319                                ",                                                  ,CERQUEIRA CESAR     ,01311-300,SAO PAULO                                                   ,SP,11,3083 15 55,Sim,CONTACTOSP@BNABR.COM.BR                                     ,WWW.BNA.COM.BR                                              
33.042.953,CITIBANK N.A.                                                                                                                                                                                           ,Banco Comercial Estrangeiro - Filial no país                ,"AV. PAULISTA, 1111                                ","LOJA 1, 3 E SOBRELOJA                             ",BELA VISTA          ,01311-920,SAO PAULO                                                   ,SP,800,970 24 84,Sim,CITI.BACEN@CITI.COM                                         ,WWW.CITIBANK.COM.BR                                         
33.132.044,BANCO CEDULA S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"RUA GONCALVES DIAS, 65 A 67                       ",                                                  ,CENTRO              ,20050-030,RIO DE JANEIRO                                              ,RJ,21,2221 55 12,Sim,ALMIR@BANCOCEDULA.COM.BR                                    ,WWW.BANCOCEDULA.COM.BR                                      
33.147.315,BANCO BRADESCO BERJ S.A.                                                                                                                                                                                ,Banco Múltiplo                                              ,"PRAÇA PIO X, 118                                  ",6º ANDAR                                          ,CENTRO              ,20091-040,RIO DE JANEIRO                                              ,RJ,21,3849 52 30,Sim,BRADESCOBERJ@BRADESCOBERJ.COM.BR                            ,                                                            
33.172.537,BANCO J.P. MORGAN S.A.                                                                                                                                                                                  ,Banco Múltiplo                                              ,"AV BRIGADEIRO FARIA LIMA, 3729,                   ","6ºPTE, 7º, 10ºPTE, 11º, 12ºPTE, 13ºPTE, 14º E 15º ",ITAIM BIBI          ,04538-905,SAO PAULO                                                   ,SP,11,4950 37 00,Sim,OUVIDORIA.JP.MORGAN@JPMORGAN.COM                            ,WWW.JPMORGAN.COM                                            
33.254.319,BANCO LOSANGO S.A. - BANCO MÚLTIPLO                                                                                                                                                                     ,Banco Múltiplo                                              ,"PRAÇA QUINZE DE NOVEMBRO, 20                      ","11º AND, SALAS 1.101 E 1.102                      ",CENTRO              ,20010-010,RIO DE JANEIRO                                              ,RJ,11,3684 52 26,Não,ISMAEL.FERRAZ@BRADESCO.COM.BR                               ,WWW2.LOSANGO.COM.BR                                         
33.466.988,BANCO CAIXA GERAL - BRASIL S.A.                                                                                                                                                                         ,Banco Múltiplo                                              ,"RUA ELVIRA FERRAZ, 68                             ","3º ANDAR, CONJUNTOS 11 E 12                       ",JARDIM PAULISTA     ,04552-040,SAO PAULO                                                   ,SP,11,3509 93 00,Sim,BCGBRASIL@BCGBRASIL.COM.BR                                  ,WWW.BCGBRASIL.COM.BR                                        
33.479.023,BANCO CITIBANK S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,AV. PAULISTA 1111 - 2º ANDAR                      ,PARTE                                             ,BELA VISTA          ,01311-920,SAO PAULO                                                   ,SP,800,970 24 84,Sim,SALETE.DONIANI@CITI.COM                                     ,WWW.CITIBANK.COM.BR                                         
33.603.457,BANCO RODOBENS S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"RUA ESTADO DE ISRAEL, 975                         ",                                                  ,VILA CLEMENTINO     ,04022-002,SAO PAULO                                                   ,SP,11,2124 87 00,Sim,RODOBENSBANCO@RODOBENS.COM.BR                               ,WWW.RODOBENSBANCO.COM.BR                                    
33.644.196,BANCO FATOR S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"RUA DR. RENATO PAES DE BARROS, Nº 1017            ",11º E 12º ANDARES                                 ,ITAIM BIBI          ,04530-001,SAO PAULO                                                   ,SP,11,3049 91 00,Sim,DIRETORIA@BANCOFATOR.COM.BR                                 ,WWW.BANCOFATOR.COM.BR                                       
33.870.163,BANCO ALVORADA S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"AVENIDA DA FRANÇA, 409                            ","3º ANDAR, PARTE                                   ",COMÉRCIO            ,40010-901,SALVADOR                                                    ,BA,11,3684 62 01,Sim,4260.GUILHERME@BRADESCO.COM.BR                              ,                                                            
33.884.941,"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.                                                                                                                                                   ",Banco Múltiplo                                              ,"RUA MINAS DE PRATA , 30                           ",16 º E 17º                                        ,VILA OLÍMPIA        ,04552-080,SAO PAULO                                                   ,SP,11,3165 20 00,Sim,COMPLIANCE@BANCOBANIF.COM.BR                                ,WWW.BANCOBANIF.COM.BR                                       
33.885.724,BANCO ITAÚ CONSIGNADO S.A.                                                                                                                                                                              ,Banco Múltiplo                                              ,"PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA,100          ",TORRE CONCEIÇÃO - 9º ANDAR                        ,PARQUE JABAQUARA    ,04344-902,SAO PAULO                                                   ,SP,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
33.923.798,BANCO MÁXIMA S.A.                                                                                                                                                                                       ,Banco Comercial                                             ,"AVENIDA  ATLÂNTICA, Nº 1.130                      ",12º ANDAR - PARTE                                 ,COPACABANA          ,22021-000,RIO DE JANEIRO                                              ,RJ,21,3820 17 00,Sim,JURIDICO@BANCOMAXIMA.COM.BR                                 ,WWW.BANCOMAXIMA.COM.BR                                      
34.270.520,BANCO IBM S.A.                                                                                                                                                                                          ,Banco Múltiplo                                              ,"AVENIDA PASTEUR, Nº 138/146.                      ","6º ANDAR, PARTE.                                  ",BOTAFOGO            ,22296-900,RIO DE JANEIRO                                              ,RJ,21,2132 46 55,Não,AGONIGI@BR.IBM.COM                                          ,WWW.IBM.COM.BR                                              
42.272.526,BNY MELLON BANCO S.A.                                                                                                                                                                                   ,Banco Comercial                                             ,AV. PRESIDENTE WILSON                             ,"Nº 231, 10º ANDAR, CONJ. 1001                     ",CENTRO              ,20030-905,RIO DE JANEIRO                                              ,RJ,21,3219 25 00,Sim,JURIDICOCORPORATIVO@BNYMELLON.COM.BR                        ,HTTPS://WWW.BNYMELLON.COM/BR                                
43.818.780,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.                                                                                                                                                                  ,Banco Múltiplo                                              ,"ALAMEDA RIO NEGRO, 161                            ","LOJA COMERCIAL 2, EDIFÍCIO WEST POINT             ",ALPHAVILLE          ,06454-000,BARUERI                                                     ,SP,11,4166 18 00,Não,REGINA@BANCODAYCOVAL.COM.BR                                 ,HTTPS://WWW.DAYCOVAL.COM.BR/PARA-EMPRESA/CREDITOS/LEASING   
44.189.447,BANCO DE LA PROVINCIA DE BUENOS AIRES                                                                                                                                                                   ,Banco Comercial Estrangeiro - Filial no país                ,"RUA LIBERO BADARO, 425, 26. ANDAR                 ",                                                  ,CENTRO              ,01009-000,SAO PAULO                                                   ,SP,11,3188 47 77,Sim,PROVINCIA@BAPRO.COM.BR                                      ,                                                            
45.246.410,BRASIL PLURAL S.A. BANCO MÚLTIPLO                                                                                                                                                                       ,Banco Múltiplo                                              ,"PRAIA DE BOTAFOGO, Nº 228                         ",SALA 907 - PARTE                                  ,BOTAFOGO            ,22250-906,RIO DE JANEIRO                                              ,RJ,11,3206 80 00,Sim,RELACIONAMENTOBACEN@BRASILPLURAL.COM                        ,WWW.BRASILPLURAL.COM                                        
46.518.205,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION                                                                                                                                                               ",Banco Comercial Estrangeiro - Filial no país                ,"AV BRIG FARIA LIMA, 3729                          ",13 ANDAR                                          ,ITAIM BIBI          ,04538-905,SAO PAULO                                                   ,SP,11,4950 37 00,Sim,OUVIDORIA.JP.MORGAN@JPMORGAN.COM                            ,WWW.JPMORGANCHASE.COM                                       
48.795.256,BANCO ANDBANK (BRASIL) S.A.                                                                                                                                                                             ,Banco Múltiplo                                              ,"AVENIDA BRIGADEIRO FARIA LIMA, 2179               ",8º ANDAR                                          ,                    ,01452-000,SAO PAULO                                                   ,SP,11,3529 04 00,Sim,INSTITUCIONAL@ANDBANK-LLA.COM.BR                            ,WWW.ANDBANK-LLA.COM.BR                                      
49.336.860,ING BANK N.V.                                                                                                                                                                                           ,Banco Comercial Estrangeiro - Filial no país                ,"AV. PRES. JUSCELINO KUBITSCHEK, 510 - 3. ANDAR    ",                                                  ,VILA NOVA CONCEIÇÃO ,04543-000,SAO PAULO                                                   ,SP,11,4504 60 00,Sim,ING-BRASIL@AMERICAS.ING.COM                                 ,WWW.ING.COM                                                 
49.925.225,BANCO ITAULEASING S.A.                                                                                                                                                                                  ,Banco Múltiplo                                              ,"AVENIDA ANTONIO MASSA, 361                        ",                                                  ,CENTRO              ,08550-350,POA                                                         ,SP,11,5019 99 86,Não,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
50.585.090,BCV - BANCO DE CRÉDITO E VAREJO S.A.                                                                                                                                                                    ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, Nº 3477                ",9º ANDAR - PARTE                                  ,ITAIM BIBI          ,04538-133,SAO PAULO                                                   ,SP,11,2847 74 00,Sim,COMPLIANCE.BMG@BANCOBMG.COM.BR                              ,WWW.BANCOBCV.COM.BR                                         
51.938.876,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY                                                                                                                                                              ,Banco Comercial Estrangeiro - Filial no país                ,"AV. PAULISTA, 1776                                ",9 ANDAR                                           ,BELA VISTA          ,01310-921,SAO PAULO                                                   ,SP,11,3373 66 00,Sim,BROUSP@BROU.COM.BR                                          ,WWW.BANCOREPUBLICA.COM.UY                                   
54.403.563,BANCO ARBI S.A.                                                                                                                                                                                         ,Banco Comercial                                             ,AVENIDA NIEMEYER Nº 02                            ,"TERREO, PARTE                                     ",LEBLON              ,22450-220,RIO DE JANEIRO                                              ,RJ,21,2529 18 00,Sim,BANCO@BANCOARBI.COM.BR                                      ,WWW.BANCOARBI.COM.BR                                        
55.230.916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO                                                                                                                                                            ,Banco Múltiplo                                              ,"AVENIDA JUSCELINO KUBITSCHEK, 1327                ",21º ANDAR                                         ,ITAIM BIBI          ,04543-011,SAO PAULO                                                   ,SP,11,3465 37 00,Sim,SAOPAULO.BR@INTESASANPAOLO.COM                              ,HTTP://WWW.INTESASANPAOLOBRASIL.COM.BR                      
57.839.805,BANCO TRICURY S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA PAULISTA, 37                              ",17º ANDAR - CONJUNTO 171                          ,BELA VISTA          ,01311-000,SAO PAULO                                                   ,SP,11,5080 80 00,Não,D.BARRETO@BANCOTRICURY.COM.BR                               ,WWW.BANCOTRICURY.COM.BR                                     
58.017.179,BANCO VOLVO BRASIL S.A.                                                                                                                                                                                 ,Banco Múltiplo                                              ,"AV JUSCELINO KUBITSCHEK OLIVEIRA, 2600, PREDIO 90S",                                                  ,CIC                 ,81260-900,CURITIBA                                                    ,PR,41,3317 77 11,Não,VFSBRASIL@VFSCO.COM                                         ,WWW.VOLVO.COM.BR                                            
58.160.789,BANCO SAFRA S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"AVENIDA PAULISTA, 2100                            ",                                                  ,CERQUEIRA CESAR     ,01310-930,SAO PAULO                                                   ,SP,11,3175 95 07,Sim,ATENDIMENTO.REGULAMENTAR@SAFRA.COM.BR                       ,WWW.SAFRA.COM.BR                                            
58.497.702,BANCO INTERCAP S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"RUA IGUATEMI, 151 - 6º ANDAR PARTE                ",                                                  ,PINHEIROS           ,01451-011,SAO PAULO                                                   ,SP,11,3315 29 93,Sim,CNT@INTERCAP.COM.BR                                         ,WWW.INTERCAP.COM.BR                                         
58.616.418,BANCO FIBRA S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"AV. PRESIDENTE JUSCELINO KUBITSCHEK, 360          ",5º ANDAR AO 9º ANDARES                            ,CHÁCARA ITAIM       ,04543-000,SAO PAULO                                                   ,SP,11,3847 67 00,Sim,KUMAGAE.HINKI@BANCOFIBRA.COM.BR                             ,WWW.BANCOFIBRA.COM.BR                                       
59.109.165,BANCO VOLKSWAGEN S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,"RUA VOLKSWAGEN, 291                               ",                                                  ,JABAQUARA           ,04344-020,SAO PAULO                                                   ,SP,11,5582 47 68,Não,VWSF@VWFS.COM                                               ,WWW.BANCOVW.COM.BR                                          
59.118.133,BANCO LUSO BRASILEIRO S.A.                                                                                                                                                                              ,Banco Múltiplo                                              ,"AV. CIDADE JARDIM, 400 - 22 ANDAR                 ",                                                  ,JARDIM EUROPA       ,01454-000,SAO PAULO                                                   ,SP,11,3039 15 00,Sim,INFO@LUSOBANK.COM.BR                                        ,WWW.LUSOBRASILEIRO.COM.BR                                   
59.274.605,BANCO GMAC S.A.                                                                                                                                                                                         ,Banco Múltiplo                                              ,"AV. INDIANÓPOLIS, 3096                            ",                                                  ,PLANALTO PAULISTA   ,04062-003,SAO PAULO                                                   ,SP,800,722 60 22,Não,BANCOGMAC@GMFINANCIAL.COM                                   ,WWW.CHEVROLETSF.COM                                         
59.285.411,BANCO PAN S.A.                                                                                                                                                                                          ,Banco Múltiplo                                              ,"AV. PAULISTA, 1374                                ",16º ANDAR                                         ,BELA VISTA          ,01310-100,SAO PAULO                                                   ,SP,11,3264 54 26,Sim,COMPLIANCE@GRUPOPAN.COM                                     ,WWW.BANCOPAN.COM.BR                                         
59.438.325,BANCO BRADESCO CARTÕES S.A.                                                                                                                                                                             ,Banco Múltiplo                                              ,CIDADE DE DEUS                                    ,"PRÉDIO PRATA, 4º ANDAR                            ",VILA YARA           ,06029-900,OSASCO                                                      ,SP,11,3684 26 85,Sim,4260.GUILHERME@BRADESCO.COM.BR                              ,WWW.BRADESCOCARTOES.COM.BR                                  
59.588.111,BANCO VOTORANTIM S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,"AVENIDA DAS NAÇÕES UNIDAS, 14.171                 ","TORRE A, 18° ANDAR                                ",VILA GERTRUDES      ,04794-000,SAO PAULO                                                   ,SP,11,5171 10 00,Sim,INFO@BANCOVOTORANTIM.COM.BR                                 ,WWW.BANCOVOTORANTIM.COM.BR                                  
60.394.079,BANCO ITAUBANK S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA, 100         ",TORRE CONCEIÇÃO - 9º ANDAR                        ,PARQUE JABAQUARA    ,04344-902,SAO PAULO                                                   ,SP,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
60.498.557,BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.                                                                                                                                                               ,Banco Múltiplo                                              ,"AVENIDA PAULISTA, 1274                            ",                                                  ,BELA VISTA          ,01310-925,SAO PAULO                                                   ,SP,11,3268 02 11,Sim,BTMUBUNICAD@BR.MUFG.JP                                      ,WWW.BR.BK.MUFG.JP                                           
60.518.222,BANCO SUMITOMO MITSUI BRASILEIRO S.A.                                                                                                                                                                   ,Banco Múltiplo                                              ,"AV PAULISTA, 37 - 11/12 AND                       ",                                                  ,PARAISO             ,01311-902,SAO PAULO                                                   ,SP,11,3178 80 00,Sim,FINANCE@SMBCGROUP.COM.BR                                    ,WWW.SMBCGROUP.COM.BR                                        
60.701.190,ITAÚ UNIBANCO S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"PCA ALFREDO EGYDIO SOUZA ARANHA, 100              ",TORRE OLAVO SETUBAL                               ,PARQUE JABAQUARA    ,04344-902,SAO PAULO                                                   ,SP,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
60.746.948,BANCO BRADESCO S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"CIDADE DE DEUS, S/N                               ",                                                  ,VILA YARA           ,06029-900,OSASCO                                                      ,SP,11,3684 62 01,Sim,4260.GUILHERME@BRADESCO.COM.BR                              ,WWW.BRADESCO.COM.BR                                         
60.814.191,BANCO MERCEDES-BENZ DO BRASIL S.A.                                                                                                                                                                      ,Banco Múltiplo                                              ,"AV.  DO CAFÉ , Nº  277                            ","TORRE A, 5º E 6ª ANDARES, CONJ. 502, 601 E 602    ",VILA GUARANI        ,04311-900,SAO PAULO                                                   ,SP,11,3792 97 00,Não,BMB_COMPLIANCE@DAIMLER.COM                                  ,WWW.BANCOMERCEDESBENZ.COM.BR                                
60.850.229,BANCO PECUNIA S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA SÃO GABRIEL, 555                          ",5º ANDAR - CJ 505                                 ,JARDIM PAULISTA     ,01435-001,SAO PAULO                                                   ,SP,11,3365 35 00,Sim,COMPLIANCE@OMNI.COM.BR                                      ,WWW.BANCOPECUNIA.COM.BR                                     
60.872.504,ITAÚ UNIBANCO HOLDING S.A.                                                                                                                                                                              ,Banco Múltiplo                                              ,"PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA, 100         ",TORRE OLAVO SETUBAL                               ,PARQUE JABAQUARA    ,04344-902,SAO PAULO                                                   ,SP,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
60.889.128,BANCO SOFISA S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"ALAMEDA SANTOS,1496                               ",                                                  ,JARDIM PAULISTA     ,01418-100,SAO PAULO                                                   ,SP,11,3176 55 00,Sim,INSTITUCIONALSOFISABCB@SOFISA.COM.BR                        ,WWW.SOFISA.COM.BR                                           
61.024.352,BANCO INDUSVAL S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"RUA IGUATEMI, 151                                 ",6º ANDAR                                          ,ITAIM               ,01451-011,SAO PAULO                                                   ,SP,11,3315 67 77,Sim,GRUPOCOMPLIANCE@INDUSVAL.COM.BR                             ,WWW.INDUSVAL.COM.BR                                         
61.033.106,BANCO CREFISA S.A.                                                                                                                                                                                      ,Banco Comercial                                             ,RUA CANADÁ 390                                    ,                                                  ,JARDIM AMÉRICA      ,01436-000,SAO PAULO                                                   ,SP,11,3897 62 00,Sim,LEILA@CREFISA.COM.BR                                        ,WWW.CREFISA.COM.BR                                          
61.088.183,BANCO MIZUHO DO BRASIL S.A.                                                                                                                                                                             ,Banco Múltiplo                                              ,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, Nº 2041  ","7º ANDAR, TORRE E                                 ",VILA OLIMPIA        ,04543-011,SAO PAULO                                                   ,SP,11,5504 98 44,Sim,INSTITUCIONAL@BANCOMIZUHO.COM.BR                            ,HTTP://WWW.MIZUHOBANK.COM/BRAZIL/PT/                        
61.182.408,BANCO INVESTCRED UNIBANCO S.A.                                                                                                                                                                          ,Banco Comercial                                             ,"PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA, 100         ",TORRE CONCEIÇÃO - 9º ANDAR                        ,PARQUE JABAQUARA    ,04344-902,SAO PAULO                                                   ,SP,11,5019 99 86,Não,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
61.186.680,BANCO BMG S.A.                                                                                                                                                                                          ,Banco Múltiplo                                              ,AVENIDA BRIGADEIRO FARIA LIMA 3477                ,9º ANDAR - PARTE                                  ,ITAIM BIBI          ,04538-133,SAO PAULO                                                   ,SP,11,2847 74 00,Sim,COMPLIANCE.BMG@BANCOBMG.COM.BR                              ,WWW.BANCOBMG.COM.BR                                         
61.190.658,BANCO ITAÚ VEÍCULOS S.A.                                                                                                                                                                                ,Banco Múltiplo                                              ,"AVENIDA ANTONIO MASSA, 361                        ",                                                  ,CENTRO              ,08550-350,POA                                                         ,SP,11,5019 99 86,Não,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.BANCOFIAT.COM.BR                                        
61.348.538,BANCO FICSA S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"RUA LIBERO BADARÓ, 377                            ",24º ANDAR - CONJ. 2401 - EDIFÍCIO MERCANTIL FINASA,CENTRO              ,01009-000,SAO PAULO                                                   ,SP,11,3343 71 00,Sim,FICSA@FICSA.COM.BR                                          ,WWW.FICSA.COM.BR                                            
61.533.584,BANCO SOCIETE GENERALE BRASIL S.A.                                                                                                                                                                      ,Banco Múltiplo                                              ,"AV PAULISTA, 2300 - 9 ANDAR, CJ 91 A 93           ",                                                  ,CERQUEIRA CESAR     ,01310-300,SAO PAULO                                                   ,SP,11,3217 80 00,Sim,LUCIANO.NAVARRO@SGCIB.COM                                   ,WWW.SGCIB.COM.BR                                            
61.820.817,BANCO PAULISTA S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"AV.BRIGADEIRO FARIA LIMA, 1355                    ",2 ANDAR                                           ,JARDIM PAULISTANO   ,01452-002,SAO PAULO                                                   ,SP,11,3299 20 00,Sim,GERSON@BANCOPAULISTA.COM.BR                                 ,WWW.BANCOPAULISTA.COM.BR                                    
62.073.200,BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.                                                                                                                                                       ,Banco Múltiplo                                              ,"AVENIDA BRIGADEIRO FARIA LIMA, 3400               ",18 ANDAR                                          ,ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,2188 40 00,Sim,ATENDIMENTO.BACEN@BAML.COM                                  ,WWW.MERRILLLYNCH-BRASIL.COM.BR/                             
62.144.175,BANCO PINE S.A.                                                                                                                                                                                         ,Banco Múltiplo                                              ,"AVENIDA DAS NAÇÕES UNIDAS, Nº 8501                ",29º E 30º (LADO B) ANDARES - ELD. BUSINESS TOWER  ,PINHEIROS           ,05425-070,SAO PAULO                                                   ,SP,11,3372 52 00,Sim,GRUPOBACEN@PINE.COM                                         ,WWW.BANCOPINE.COM.BR                                        
62.232.889,BANCO DAYCOVAL S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,AV.  PAULISTA  Nº 1793                            ,                                                  ,BELA VISTA          ,01311-200,SAO PAULO                                                   ,SP,11,3138 05 30,Sim,REYNALDO@BANCODAYCOVAL.COM.BR                               ,WWW.DAYCOVAL.COM.BR                                         
62.237.425,BANCO FIDIS S/A                                                                                                                                                                                         ,Banco Múltiplo                                              ,"AV. CONTORNO, 3.455                               ",PORTARIA 02 - GALPÃO 84                           ,PAULO CAMILO        ,32669-900,BETIM                                                       ,MG,31,3888 59 16,Não,DIRETORIA.BFIDIS@BANCOFIDIS.COM.BR                          ,WWW.BANCOFIDIS.COM.BR                                       
62.307.848,BANCO RCI BRASIL S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,"RUA PASTEUR, 463                                  ","2º ANDAR, CONJUNTO 204                            ",BATEL               ,80250-080,CURITIBA                                                    ,PR,41,3025 15 05,Não,JURIDSOCIETARIO@SANTANDER.COM.BR                            ,WWW.BANCORENAULT.COM.BR                                     
62.331.228,DEUTSCHE BANK S.A. - BANCO ALEMAO                                                                                                                                                                       ,Banco Múltiplo                                              ,"AVENIDA BRIGADEIRO FARIA LIMA, 3900               ","13º, 14º E 15º ANDARES                            ",ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,2113 50 00,Sim,DEUTSCHE-BANK.OUVIDORIA@DB.COM                              ,WWW.DEUTSCHE-BANK.COM.BR                                    
62.421.979,BANCO CIFRA S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, Nº 3477                ",9º ANDAR - PARTE                                  ,ITAIM BIBI          ,04538-133,SAO PAULO                                                   ,SP,11,2847 74 00,Sim,MARCO.ANTUNES@BANCOBMG.COM.BR                               ,WWW.BANCOCIFRA.COM.BR                                       
68.900.810,BANCO RENDIMENTO S.A.                                                                                                                                                                                   ,Banco Comercial                                             ,"AVENIDA DAS  NAÇÕES UNIDAS, Nº 8501               ",10º ANDAR - ELDORADO BUSINESS TOWER               ,PINHEIROS           ,05425-070,SAO PAULO                                                   ,SP,11,3629 70 00,Sim,WILSON.OMETTO@RENDIMENTO.COM.BR                             ,WWW.RENDIMENTO.COM.BR                                       
71.027.866,BANCO BS2 S.A.                                                                                                                                                                                          ,Banco Múltiplo                                              ,"AVENIDA RAJA GABAGLIA, 1.143                      ",14º AO 16º ANDAR                                  ,LUXEMBURGO          ,30380-403,BELO HORIZONTE                                              ,MG,800,727 67 89,Sim,CONTROLADORIA@BANCOBONSUCESSO.COM.BR                        ,WWW.BANCOBONSUCESSO.COM.BR                                  
71.371.686,BANCO OLÉ BONSUCESSO CONSIGNADO S.A.                                                                                                                                                                    ,Banco Múltiplo                                              ,"RUA ALVARENGA PEIXOTO, 974                        ",ANDAR 8                                           ,SANTO AGOSTINHO     ,30180-120,BELO HORIZONTE                                              ,MG,31,2138 76 68,Não,ALVARO@BONSUCESSOCONSIGNADO.COM.BR                          ,WWW.OLECONSIGNADO.COM.BR                                    
